review_id,actual_stars,sentiment_stars,sentiment_explanation,human_stars,human_explanation,product_stars,product_explanation
hwYVJs8Ko4PMjI19QcR57g,4,4.0,"Positive sentiment: enjoyed food, service, and atmosphere despite the emptiness.",4.0,"Positive food, service, and drinks despite late-night emptiness. Update adds patio praise → solid 4 stars.",4,"High F (well made grub), S (friendly), A (atmosphere works). Overall_score ~0.78. No overrides."
0mvthYPKb2ZmKhCADiKSmQ,5,5.0,Extremely positive sentiment: high praise for crawfish etouffee from a Louisiana native.,5.0,Strong positive praise from a Louisiana native about authenticity. No negatives → 5 stars.,5,"Strong positive on Food (F=1.0). No service/price mentions. Overall 0.40*1.0=0.40 → 3 stars, but explicit superlative 'best' enforces 5."
XJHknNIecha6h0wkBSZB4w,3,4.0,Positive sentiment: consistent visits and good food indicate a solid 4-star experience.,4.0,"Consistent visits, good food, and satisfying drinks indicate positive experience with minor ambiance caveats.",4,"Positive F and A; neutral S, P, C. Overall score ~0.65. No overrides applied."
z6y3GRpYDqTznVe-0dn--Q,1,1.0,"Strong negative sentiment: the reviewer was overcharged and treated unfairly, leading to a 1-star rating.",1.0,"Severe service fraud (quoted $3000 vs $100 fix), denied warranty help, and lost customer for life → 1 star.",1,"Severe service failure (overquoted $3000 vs $100 fix, dishonest diagnosis) → override to 1 star."
vhWHdemMvsqVNv5zi2OMiA,5,5.0,Strong positive sentiment: enthusiastic praise and multiple visits justify 5 stars.,5.0,"Repeated visits, strong praise for squid salad and variety → clear positive sentiment with no negatives.",5,"Strong positive sentiment on Food (F=1.0) and Ambiance (A=1.0). Overall_score 0.55 maps to 3 stars, but explicit superlative 'Love this place' enforces 5 stars."
dg1Sw8sihJCUKGiQ7Yl_tg,4,5.0,"Strong positive sentiment: the reviewer praises location, value, cleanliness, and explicitly calls it a great choice.",4.0,"Strong positives in location, price, cleanliness, and rooms. Minor noise issue noted but overall recommendation → 4 stars.",4,"High F (breakfast), S (smooth stay), A (location, room size). P strong (price, free parking). Minor A deduction (noise). Overall 0.76 → 4 stars. No overrides."
ZQ2S7QL9ubt_zZdcE4Kz9Q,4,5.0,"Strong positive sentiment: enthusiastic praise for food, service, and late hours.",5.0,"Strong praise for food quality, happy hour value, and late-night service. Service is mixed but resolved positively.",5,"High F (top seafood, quality salmon, late hours) and S (quick service when noticed). Good P (happy hour, not expensive). Overall 0.86. No overrides."
DFBb_9IR5sc0sCsi7Hhn5w,4,5.0,Strong positive sentiment: enthusiastic praise with exclamation marks indicates high satisfaction.,5.0,"Enthusiastic praise for ramen and boba with no negatives → strong positive sentiment, 5 stars.",5,Strong positive sentiment on food and ambiance implied; overall_score >=0.80 → 5 stars.
7ZrirtO2rOCR8aHNIU6SfA,5,5.0,"Strong positive sentiment: enthusiastic praise of food, portions, and seating options.",5.0,"Enthusiastic praise for food, portions, and ambiance with no negatives → 5 stars.",5,"High Food (awesome) and Ambiance (home office, seating) scores. Overall_score >= 0.80 → 5 stars."
XFVJstX3gRXv3Bhitzk9rA,1,1.0,Strong negative sentiment: repeated poor food portions and service justify 1 star.,1.0,"Severe food portion issues repeated, explicit 1 star for service, and 'not going back' → strong 1 star.",1,Low F (0.1) and S (0.1) scores; overall_score 0.09 → 1 star.
xWAvESbLyNmdpdvK32zz5g,4,5.0,"Strong positive sentiment: praise for food, service, and value for a large group.",5.0,"Strong positives on food, group management, no long wait, and low price → no negatives → 5 stars.",5,"High F (good food, highlights) and S (large group, no wait). Price excellent ($160/11). Overall_score ~0.95. No overrides."
yPNKoTo0W2j-6CxfONssLg,5,5.0,"Overwhelmingly positive sentiment with repeated praise for atmosphere, service, and prices.",5.0,"Overwhelmingly positive on atmosphere, service, and prices with no negatives → 5 stars.",5,"High scores across F, S, P, A (all positive mentions). overall_score >= 0.80 → 5 stars."
gvdxUyeULOzj8irBHwzhdA,3,5.0,Strong positive sentiment: enthusiastic praise implies top rating.,5.0,"Enthusiastic brand praise with no negatives → strong positive sentiment, likely 5 stars.",5,Strong positive sentiment on Food/Service/Ambiance implied; overall_score >=0.80 → 5 stars.
1FLzfSSQMNekqAaMC0jyOA,4,4.0,"Strongly positive sentiment with minor service caveats, justifying a 4-star rating.",4.0,"Extensive praise for selection, prices, and convenience. Minor service caution at deli and parking note, but not severe enough to drop below 4.",4,High F (unique items) and A (facilities) scores; S is mixed (staff caution) but not severe; overall_score ~0.73 → 4 stars.
FcIL0kPumNkm-ks908FX8A,5,5.0,Strong positive sentiment: enthusiastic praise for helpful service and gratitude expressed.,5.0,"Excellent service and gratitude expressed, no negatives mentioned → 5 stars.",5,"Service (S=1.0) is the only relevant axis; overall_score=0.30 → 2 stars, but explicit superlative 'very grateful' and no negatives enforce 5."
72RLVL7ulxXkh-Sv01l73w,2,3.0,Mixed sentiment: burger was okay but high prices and average fries lead to a neutral rating.,3.0,"Burger was okay but fries were average and prices were very overpriced, leading to a neutral 3-star rating.",3,"Food: 0.6 (good burger, average fries). Service: 0.5 (neutral). Price: 0.0 (overpriced). Ambiance: 0.5 (neutral). Overall 0.44 → 3 stars."
5rzUPtAk7rR5EK8x_WszwA,4,3.0,"Mixed sentiment: positive on quality, negative on small department and registry error.",3.0,"Positive comments on quality but negative registry experience with name misspelling and small department → mixed review, 3 stars.",3,"Service error (name spelling) and negative ambiance (uncomfortable, small department) offset positive product quality. Overall neutral. No overrides triggered."
TNjJ7gjtr7gjJ_LQDrCUIw,4,4.0,"Positive sentiment: appreciative tone about a healthier, customizable option at Red Robin.",4.0,"Positive solution for calorie-conscious diners with good customization options, minor note on fries → 4 stars.",4,Positive Food (helpful low-cal option) and Ambiance (helpful info). No Service/Price/Cleanliness mentioned. Overall_score ~0.65 → 4 stars.
cBuGiqccc8mE8x6f_JidHg,5,5.0,Strong positive sentiment: enthusiastic praise of pizza and appetizer.,5.0,Enthusiastic praise for pizza and appetizer with no negatives → 5 stars.,5,High Food (1.0) and Ambiance (1.0) scores. overall_score 0.85 → 5 stars.
SkO0tzjC5Xyt4ZzMC9XS9w,5,4.0,"Positive sentiment: review praises convenience and speed, outweighing minor caveats.",4.0,Praises convenience and speed but notes limited options and advises against snacks → overall positive experience.,4,"High A (quaint, convenient, 20 min process) and P (value implied). No S/F/C mentioned. Overall_score ~0.70. No overrides."
b01QqdMpIIaeEnMs_g92pQ,5,5.0,"Enthusiastic praise for the tasty burger and fries, with only minor packaging critiques.",5.0,"Enthusiastic praise for burger and fries, minor packaging wish, messy sauce is a positive → 5 stars.",5,"High F (fantastic burger, tasty), S (implied positive), A (positive mess). Overall_score ~0.90. No overrides."
sEpffpL6SPsu4vUlI9la1g,5,5.0,"Overwhelmingly positive sentiment: praise for food quality, value, and service, calling it a 'gem'.",5.0,"Consistently praised food, friendly staff, and great value. Casino ambiance is a minor note, not a service failure.",5,"High F (0.95), S (0.90), P (0.95), A (0.40), C (0.50). Overall 0.86. No severe negatives. No wait complaints. Superlative 'best option' with high score enforces 5."
BvFYrSSJRDqJwSbVyQhPVw,1,1.0,"Strong negative sentiment: rude staff, overpriced, and malfunctioning equipment justify 1 star.",1.0,"Severe service rudeness, hidden pricing, overcharged $20, equipment malfunction, and hot environment → multiple strong negatives → 1 star.",1,"Low F (equipment malfunction), S (rude), A (hot, unpleasant), P (overpriced). Overall_score 0.20 → 2 stars. Override: severe service/ambience issues → 1 star."
psMnrkshrBBbqk-2SxX5og,4,4.0,"Positive sentiment dominates due to excellent service and amenities, despite minor issues with room noise and food saltiness.",4.0,"Exceptional service and great amenities, but room noise and salty food prevent a perfect 5-star rating.",4,"Strong Service (S=1.0) and Ambiance (A=1.0). Food (F=0.7) and Room (C=0.5) mixed. Overall 0.86 maps to 5, but room noise and salty food override to 4."
uMQ4juin9OVWjvOnLn--NA,4,5.0,"Strong positive sentiment: enthusiastic praise for fresh food, great service, and delicious onion rings.",5.0,"Fresh, hot food, great onion rings, and perfect burger with friendly service. No negatives mentioned.",5,"High F (fresh, perfect, delicious) and S (smile, attentive) scores; overall_score 0.90 → 5 stars; no overrides."
930PX8SNo5zxtlcJOio4ig,4,5.0,"Strong positive sentiment: enthusiastic praise of food quality, flavor, and value.",4.0,"Positive food and value, but initial mention of non-burrito meals slightly tempers enthusiasm → 4 stars.",5,High Food (0.9) and Price (0.9) scores. Overall 0.86. No overrides.
SMTjk42KnUfJn1vLh8Y_eA,1,2.0,"Negative sentiment: complaint about high prices indicates dissatisfaction, warranting 2 stars.",2.0,Strong complaint about high prices with no positives → significant downgrade to 2 stars.,2,Price-only complaint triggers price-weight override; F and S neutral; overall_score 0.30 → 2 stars.
VqDKlhAtDIRjxQdwvqusBQ,4,4.0,"Positive sentiment: exceeded expectations, good food, fast service, and great value.",4.0,"Fast, friendly service and great value on meals. Minor price nitpick on drinks, but overall exceeded expectations.",4,"High F (good food, value) and S (fast, friendly) scores; overall_score ~0.76; no overrides."
enO2RiutNuor8px7AmK81Q,2,2.0,Mixed sentiment with negative lean: broken equipment and higher prices outweigh nice garden.,2.0,Severe equipment failure and higher prices outweigh nice garden and short wait → strong downgrade to 2 stars.,3,"Service mixed (strange staff, short wait), Ambiance positive (not busy), Price negative (high). No severe negatives. Overall score ~0.50 → 3 stars."
swAgg95rDJ6I2SLOGkTZdA,2,2.0,"Severe service failures and long waits overshadowed the good food, resulting in a negative experience.",1.0,"Severe service failures: long waits, no bread/cutlery, wine bottle dumped, opener thrown. Apology without compensation. Positive food note is insufficient.",2,"Service extremely poor (waited >30 mins, no water/cutlery, unprofessional actions). Food quality positive but insufficient to offset. Override: service time complaint reduces star by 1."
-Ieb92HyWYckqlJTAuf_GA,1,1.0,"Strong negative sentiment: multiple dishes described as bland, dry, and non-existent taste justify 1 star.",1.0,"Severe food quality issues across all dishes, bland and inedible without sauce, strong negative tone and refusal to return → 1 star.",1,"Food quality is strongly negative (bland, dry, inedible). Service and price not mentioned. Overall score < 0.20. No severe safety keywords, but low score maps to 1 star."
SYK_LgV8wDoezdu9acfz2w,1,1.0,Strong negative sentiment: frustration with confusing pumps and refusal to return justifies 1 star.,1.0,"Severe frustration with confusing payment system and broken equipment, plus explicit 'never going back' → strong negative rating.",1,"Negative A (confusing layout, equipment issues) and S (no staff interaction). Overall_score 0.10 → 1 star."
eofH2KzzXNe7wzNINgDwoQ,3,4.0,Positive sentiment: good food and intent to return outweigh minor complaints.,4.0,Strong positive food comments and intent to return outweigh minor slaw critique and location issue → 4 stars.,4,"Strong Food (0.9) and positive intent (will return). Service, Price, Ambiance neutral. Overall 0.46 → 3 stars, raised to 4 due to strong Food."
PuLN4Y3O8L3OazUDu7Iu4g,4,5.0,"Overwhelmingly positive sentiment with enthusiastic praise for food, atmosphere, and service.",5.0,"Enthusiastic praise for breakfast, coffee, and ambiance with no negatives. Strong positive tone and recommendation.",5,"High F (rave pancake, good bacon/eggs), S (friendly waitress), A (cutest place, fun decor). Overall_score >=0.80. No overrides."
yibnwtn5mEDj1vauF3xJNg,5,5.0,"Extremely positive sentiment: strong praise for cleanliness, efficiency, and staff.",5.0,"Exceptional cleanliness, efficiency, and friendly staff with strong positive language → 5 stars.",5,"High scores across F (fresh food), C (cleanliness), S (friendly/efficient), A (orderly/pleasant). Overall_score 0.90 → 5 stars."
oGlJr_FFBA4zBiVNSxAEBg,5,5.0,"Strong positive sentiment: enthusiastic praise for the family vibe, artists, and open layout.",5.0,"Strong positive sentiment, praise for artists, vibe, and recommendation → 5 stars.",5,"High Service (friendly, professional) and Ambiance (family vibe, open layout) scores drive overall_score 0.85 → 5 stars. No overrides."
fhOMHh5NMiODyz96lroADQ,5,5.0,Extremely positive sentiment with superlative praise for taste and texture.,5.0,Enthusiastic praise for taste and texture with no negatives → 5 stars.,5,High Food (1.0) and Ambiance (1.0) scores; overall_score 0.85 → 5 stars. No overrides.
c15oWoC-EERMpE7iCmAcwQ,5,4.0,"Positive sentiment: enjoyed the food and drinks, despite minor portion size concerns.",4.0,Great food and flavor despite portion size and price concerns. Minor service warning and son's dislike balanced by strong positives.,4,"High F (great chicken, waffles, lemonade), moderate S (crowded, wait), mixed P (portions small for price). Overall_score ~0.73. No severe overrides."
E7Xh3l0VZmyajWDZdBW6MQ,4,4.0,Positive sentiment: delicious BBQ and sides outweigh minor complaints about ordering and coleslaw.,4.0,"Food is praised as delicious with specific positives, but cafeteria style and coleslaw are minor negatives. No severe issues, so 4 stars.",4,"High Food (delicious brisket/ribs, root beer, beans) and Service (no wait). Minor negatives (coleslaw, cafeteria style) lower score. Overall 0.71 → 4 stars."
vYZ9-sw5LsoB0a8flqkL4A,2,1.0,Strong negative sentiment: feeling of wasted money and refusal to return.,1.0,Strong negative sentiment with specific monetary loss and 'never again' → severe downgrade to 1 star.,1,Price-only complaint with 'expensive' and 'waited 38 minutes' → override to 1 star.
i-1Uh8jR_xtJk2kPOt4BGA,3,2.0,"The review is heavily negative, citing mediocre food and high prices, despite decent service.",2.0,"Severe overpricing complaint ($120), multiple food comparisons showing inferior quality, and mediocre service despite one positive dish → strong downgrade.",2,"Food quality (F) low due to 'mediocre' and specific negatives; Service (S) high; Price (P) negative. Overall_score ~0.38. Override: 'way overpriced' and explicit comparisons trigger price weight adjustment, but score remains in 2-star range."
ApKbwpYJdnhhgP4NbjQw2Q,1,1.0,"Strong negative sentiment: the reviewer expresses extreme disappointment with the food, service, and atmosphere.",1.0,"Severe food complaints (fat, gristle, poor quality) and cramped, uncomfortable seating. High price ($150) intensifies the negative experience.",1,"Food (F) 0.0 (horrible, raw, fat/gristle), Service (S) 1.0 (excellent), Ambiance (A) 0.0 (cramped, overheard conversations), Price (P) 0.0 (expensive, poor value). Weighted score ~0.35 (2 stars), but override: severe negative food quality (raw/fat) → min 1."
Xzx04tG4ndBxM3YSsdfHmQ,1,2.0,"Negative sentiment dominates with strong insults about the venue and drinks, though some minor positives exist.",2.0,"Severe negative comparisons to predators and underage themes, plus bad drinks and decor, heavily outweigh any music positives.",2,Service (S=0.0) and Ambiance (A=0.0) are very negative; overall_score 0.10 → 1 star. Override: tracked time complaint absent; severe-negative keywords absent; no superlative. Min 2 due to mixed context.
6b5sifuzXWw0cMd_8c9how,3,3.0,"The review describes a frustrating hike but ends with relief, resulting in a neutral, mixed sentiment.",3.0,"Review describes a negative experience getting lost on unmarked trails with a severe 15-mile hike and missed dinner, despite a helpful stranger.",1,No mention of restaurant/hospitality axes (Food/Service/Value/Cleanliness/Ambiance). Review is purely about hiking experience. No positive axes to evaluate.
7Fy7r6k7pf7m0euNtwAykg,4,5.0,"Overwhelmingly positive sentiment: enthusiastic praise for food, service, and atmosphere outweighs minor price concern.",5.0,"Rave praise for food, service, and atmosphere; price caveat is minor and expected → 5 stars.",5,"High F (great food), S (wonderful/quick), A (cool atmosphere). P noted pricey but fair. Overall 0.86. No overrides."
1fRGR6XTTElRBZW_oDrpUA,4,5.0,"Enthusiastic praise for food, spice, prices, and staff indicates strong positive sentiment.",5.0,"Excellent food, great spice, bargain prices, and friendly staff. No negatives mentioned.",5,"High F (rocks, good), S (friendly, kind), P (bargain). A neutral. Overall 0.86. No overrides."
-Seq69RSaEX7Iu02laCqjg,4,5.0,"Strong positive sentiment: praise for organization, selection, and prices leads to 5 stars.",5.0,"Strong positive sentiment across organization, service, selection, and value with coupon. No negatives mentioned, enthusiastic tone.",5,"High A (nice, organized), S (nice, not pushy), F (quality products, great selection). P neutralized by coupon. Overall_score ~0.85. No overrides."
39ICyKwEw4TYd9ZuQaAgAA,5,5.0,Extremely positive sentiment with enthusiastic praise for the food and overall experience.,5.0,"Enthusiastic praise for food quality, freshness, and ambiance with no negatives → strong 5-star rating.",5,"High F (best crab salad, fresh) and A (well appointed) scores; overall_score 0.90 ≥ 0.80; explicit superlative 'ABSOLUTE BEST' confirms 5 stars."
mSaa0X25WDBQYj5faxX1zw,4,,,5.0,"Excellent food quality, huge portions, and fair pricing with no negatives mentioned. Enthusiastic tone and intent to return indicate a top rating.",5,"High F (divine tuna, huge rolls), S (smile, chill), P (fair price). Overall_score >=0.80. No overrides."
TjRguiiYR-pZZJ_F_SAE7A,1,1.0,"Strong negative sentiment: severe lateness, lost driver, and financial loss justify 1 star.",1.0,"Severe late arrival caused financial loss and missed class. Driver got lost, no GPS used. Strong anger → 1 star.",1,"Severe service failure (35+ min late, driver lost, missed class). Overall_score low; override to 1 star."
m5Q6NkcyibtTHpCrS3DvGw,1,1.0,Strong negative sentiment: multiple complaints about food quality and awful experience justify 1 star.,1.0,"Severe food quality issues (wrong meat, greasy) and explicit awful verdict → strong negative downgrade to 1 star.",1,F=0.0 (multiple food quality issues); S=0.0 (ownership change implied decline); P=0.0 (not worth it). Overall 0.10 → 1 star. No overrides triggered.
RFtI9BfEPyqmEFqsojVqyA,3,4.0,"Positive sentiment: prefers this place over Denny's, indicating a favorable experience.",3.0,Mildly positive but unenthusiastic comparison to chain restaurants with no standout praise → neutral 3 stars.,3,Moderate positive F and S; neutral A; overall_score ~0.50; no overrides → 3 stars.
xRW_1aHFX_8NZ1Zo5CLAwA,4,5.0,"Enthusiastic praise for the unique atmosphere, wildlife, and decent food.",5.0,"Exceptional atmosphere with wildlife and no wait, plus decent food. No negatives mentioned → strong 5-star experience.",5,"High A (unique atmosphere, wildlife), strong F (decent food, good salsa), good S (no wait). Overall_score 0.85 → 5 stars."
etX1xc1ewwvl9cQB_8Q7BA,4,4.0,"Positive sentiment with minor caveats like shabby decor, but overall praise for food and service.",4.0,"Delicious food, friendly staff, and decent prices outweigh minor shabbiness → solid 4-star experience.",4,"High F (delicious) and S (friendly, fixes issues) drive score; A slightly negative (shabby). Overall_score ~0.78. No overrides."
iAMyylgz85tvjOjYQXPa6w,4,4.0,"Positive sentiment: great beer education and atmosphere outweigh average food, justifying 4 stars.",,,4,"Food 0.6 (mixed), Service 0.9 (great beer education), Ambiance 0.9 (safe, geeky). Overall 0.81 → 5 stars, but burger 'nothing spectacular' pulls to 4."
TM0OXCu8Yk6H-Rb0BU0ERg,3,3.0,"Mixed sentiment: positive layout and view, but negative pricing and drink options.",3.0,"Positive layout and view, but high prices and limited options are significant negatives → mixed review, 3 stars.",3,"Strong A (layout, view), weak P (price, lack of options), mixed S. Overall_score ~0.55. No overrides."
lzSjJafXh1eGE0yaYJQkuw,5,5.0,"Overwhelmingly positive sentiment with enthusiastic praise of food, service, and atmosphere.",5.0,"Minor drink error overshadowed by excellent food, great atmosphere, and enthusiastic service. No severe negatives, strong positives dominate.",5,"High F (melted salmon, great bread pudding), S (good, flexible), A (great atmosphere). Overall_score 0.86 → 5 stars. No overrides."
xVcX2Oy8d0V30VOAj7AC5Q,5,5.0,Extremely positive sentiment: enthusiastic praise for delicious taste and low price.,5.0,"Enthusiastic praise for taste and price with no negatives → high satisfaction, 5 stars.",5,High Food (delicious) and Price (inexpensive) scores. Overall 0.90 → 5 stars. No overrides.
_dJQfEtgn9A1OOHEgDNmvg,5,5.0,"Strong positive sentiment: enthusiastic praise of menu, favorite dish, and excellent service.",5.0,"Consistently positive feedback on food variety, favorite dish, and excellent friendly service → 5 stars.",5,"High F and S scores (never disappointed, excellent service); overall_score >=0.80 → 5 stars."
DcMPVUltzJd9Py9BK7VrvQ,1,2.0,"Negative sentiment: disappointment with higher prices, smaller portions, and poor service.",2.0,Severe service neglect and major price/portions downgrade from past excellence → strong negative shift.,2,"Food quality declined (smaller portions, poor tea prep), service was inattentive (no help with tables), and price/value perceived as poor (higher price). Overall negative experience."
