review_id,actual_stars,predicted_stars,json_valid
hwYVJs8Ko4PMjI19QcR57g,4,4,True
0mvthYPKb2ZmKhCADiKSmQ,5,5,True
XJHknNIecha6h0wkBSZB4w,3,4,True
z6y3GRpYDqTznVe-0dn--Q,1,1,True
vhWHdemMvsqVNv5zi2OMiA,5,5,True
dg1Sw8sihJCUKGiQ7Yl_tg,4,4,True
ZQ2S7QL9ubt_zZdcE4Kz9Q,4,5,True
DFBb_9IR5sc0sCsi7Hhn5w,4,5,True
7ZrirtO2rOCR8aHNIU6SfA,5,5,True
XFVJstX3gRXv3Bhitzk9rA,1,1,True
xWAvESbLyNmdpdvK32zz5g,4,5,True
yPNKoTo0W2j-6CxfONssLg,5,5,True
gvdxUyeULOzj8irBHwzhdA,3,5,True
1FLzfSSQMNekqAaMC0jyOA,4,4,True
FcIL0kPumNkm-ks908FX8A,5,5,True
72RLVL7ulxXkh-Sv01l73w,2,3,True
5rzUPtAk7rR5EK8x_WszwA,4,3,True
TNjJ7gjtr7gjJ_LQDrCUIw,4,4,True
cBuGiqccc8mE8x6f_JidHg,5,5,True
SkO0tzjC5Xyt4ZzMC9XS9w,5,4,True
b01QqdMpIIaeEnMs_g92pQ,5,5,True
sEpffpL6SPsu4vUlI9la1g,5,5,True
BvFYrSSJRDqJwSbVyQhPVw,1,1,True
psMnrkshrBBbqk-2SxX5og,4,4,True
uMQ4juin9OVWjvOnLn--NA,4,5,True
930PX8SNo5zxtlcJOio4ig,4,5,True
SMTjk42KnUfJn1vLh8Y_eA,1,2,True
VqDKlhAtDIRjxQdwvqusBQ,4,4,True
enO2RiutNuor8px7AmK81Q,2,3,True
swAgg95rDJ6I2SLOGkTZdA,2,2,True
-Ieb92HyWYckqlJTAuf_GA,1,1,True
SYK_LgV8wDoezdu9acfz2w,1,1,True
eofH2KzzXNe7wzNINgDwoQ,3,4,True
PuLN4Y3O8L3OazUDu7Iu4g,4,5,True
yibnwtn5mEDj1vauF3xJNg,5,5,True
oGlJr_FFBA4zBiVNSxAEBg,5,5,True
fhOMHh5NMiODyz96lroADQ,5,5,True
c15oWoC-EERMpE7iCmAcwQ,5,4,True
E7Xh3l0VZmyajWDZdBW6MQ,4,4,True
vYZ9-sw5LsoB0a8flqkL4A,2,1,True
i-1Uh8jR_xtJk2kPOt4BGA,3,2,True
ApKbwpYJdnhhgP4NbjQw2Q,1,1,True
Xzx04tG4ndBxM3YSsdfHmQ,1,2,True
6b5sifuzXWw0cMd_8c9how,3,1,True
7Fy7r6k7pf7m0euNtwAykg,4,5,True
1fRGR6XTTElRBZW_oDrpUA,4,5,True
-Seq69RSaEX7Iu02laCqjg,4,5,True
39ICyKwEw4TYd9ZuQaAgAA,5,5,True
mSaa0X25WDBQYj5faxX1zw,4,5,True
TjRguiiYR-pZZJ_F_SAE7A,1,1,True
m5Q6NkcyibtTHpCrS3DvGw,1,1,True
RFtI9BfEPyqmEFqsojVqyA,3,3,True
xRW_1aHFX_8NZ1Zo5CLAwA,4,5,True
etX1xc1ewwvl9cQB_8Q7BA,4,4,True
iAMyylgz85tvjOjYQXPa6w,4,4,True
TM0OXCu8Yk6H-Rb0BU0ERg,3,3,True
lzSjJafXh1eGE0yaYJQkuw,5,5,True
xVcX2Oy8d0V30VOAj7AC5Q,5,5,True
_dJQfEtgn9A1OOHEgDNmvg,5,5,True
DcMPVUltzJd9Py9BK7VrvQ,1,2,True
2AqetcqrCB8wINZEMGUPNw,2,1,True
xJcCUTWuvqzUOk3qd1moNg,2,2,True
NSVZ5tKuCxMx3zbUe60hIg,4,4,True
LbSa1y7dGRZc4z6TXFG4AQ,3,3,True
n00HCW6_X4U0esmFO_BbAw,4,4,True
8Hxmm9e4G-H86RmGSW0j_Q,2,2,True
Fz9aX8NFZV9V6qrNxsvpSw,5,5,True
hoNecQuL86iCHowOtzMZig,5,5,True
ZTBSDNo538Ephof6NLIf8A,2,2,True
qdkjDNuSUVLekIXwxya4eQ,4,5,True
1ardaspyAbC7etWK9nuOQg,3,3,True
eRm_2IWGdWO8BgkAF1N78w,2,2,True
AU1oha0Z1rAYNZzF8RtLeQ,5,5,True
7dqQJWr3W-CdREv0-BDuoQ,4,5,True
81sTvcZ05tgMhZaGICnAEw,3,3,True
nnSlvK-pDhWnZUZVEffn2w,5,5,True
ohGv9HXmVxImPpfuQ24UHg,2,2,True
xuhlhYUPLBOHMFiYxEPtEw,5,5,True
AAVhWT301YqbZQ-Oxp3NlA,3,4,True
Jz3RU93vI7YWcfOpbe9tQw,5,5,True
NF44zbH5km75xnXpbmFObA,4,5,True
-5jtdmmE6PWZOzGRzO1j5w,4,4,True
KiMfNA05aF5x_Zq2iu4H_A,4,3,True
x3h3JziyT5SLgYalApzqRA,4,5,True
ssxtRkC4mLcnxgdmbk7Z9A,4,4,True
CNuixieP6B-BRKGZyWpcGQ,5,4,True
TbYplh9exegRgGUS55VBfQ,5,5,True
gVf9VqVVK7BM5HNTcDbakg,4,4,True
37OUFjqDHZpGgqZAHgy4bA,4,5,True
EGuENavQY3Lz5XMR2kaZSg,3,4,True
yOzUD3HgusvV_oi6su066w,4,5,True
oGU0nYP_wzyffWt7HsZ68g,3,2,True
iSxZ2wCLeh738TfpVVz5Xw,3,2,True
lOvdXM6zXyzxpMxptY4PYw,5,5,True
_37x0HOMHnlKUdhkrrCcTw,4,5,True
_UeF6NX6eBLdV4gGKDmzYQ,5,5,True
gwbYi4ykkOKh3CKJXIbtcA,4,4,True
lDEHoRGTujPGZ0gSQ8uP-w,4,5,True
IktgaHr6D1QppoYCvnxQtw,4,4,True
yj_yJ_x0qvFhotz891qh_Q,2,2,True
mGVU-oYnheibMlBjYOyhvA,4,4,True
hfJl7JpIuq_8m8nQhHiSqg,5,5,True
hYGWhzZtfwR8Ygt0l-2iNg,4,5,True
BcLe4aGMam8nwLIZj2DTzg,4,4,True
lztAHL-LKCXF-M4PxmmvPg,2,2,True
52CzJDb4EakSjEQOUys77Q,3,4,True
lqTl1i4uq09N2SajtR6nOQ,1,1,True
DiXdI0QMSl-gFubWu2BGCw,2,2,True
SqxwrURoVC6fbodSIIw3BQ,5,5,True
BUYweJ7ca-HZRv95Ged5iw,5,5,True
NsS1BXKprxXiiRcfe0tBmw,4,5,True
H9DS1n3CFbaScptBseCuBA,4,5,True
dz1HrU8KNaPb4BfCDO3BLg,4,5,True
RaWAU0yBTffXrOzPRAEnWg,3,4,True
ZRlXng9pn0I3s0MizBF_tg,5,5,True
NTyaLCYWUdBRmj0zm6MMgA,4,5,True
hToXrZeYpH9xUvflGywJaA,3,3,True
0lAz-mLMpE9wb-SLK4f0sw,1,2,True
JlYyxi5NDlX911vCt5iojw,5,5,True
3-lKMNbXFrfLf82zfbXJLA,3,5,True
pWn9Fof6PFZWIAdxEFNudA,1,1,True
lS8yhfnUiR_kiaW_ZPoY3w,5,5,True
A1F5KxzbzTwLKsocnPPQWA,4,4,True
IkB8WQbZH5G8Jsk2UCjchg,4,4,True
YOxdPCAFcIQeeKgCNUcshA,4,5,True
CgI-GEs5nh7l76XznJC3Ig,4,5,True
O67YJygNyzYQGUqATIG_ew,4,3,True
A-drtNIHmzknlD825OhCdQ,4,5,True
EqW0Vvu8B8LaIXJQduQeSw,5,5,True
julrXc7fBvyCa0Z8xJKkRg,4,5,True
lMUkpUjdv5xoEQ4Sr6DN5Q,3,3,True
-hqEQUxefQSjHMcMpqIHHg,4,4,True
raaH2O1gL1H712CjHv_lwQ,3,4,True
j4dTZw7rtCNqsqCS61wvsg,4,5,True
w7bdwvf-KpTxIHUaWhlw3A,5,5,True
MZuTe1I1u1tpb_RlGUHFng,5,5,True
Y8GAudCnbK-05qkFzLsv0Q,4,4,True
X-P53WWo1I2CClf9oMqWEw,3,4,True
ptaV9AQw_78TlKIohuwe1w,4,4,True
YKXgZI-ghJBCbJPhs0kZmA,4,5,True
xCEvHEszA3-CmFqtHacVQg,1,2,True
Fx5ZAY_yC-hqcQH0zH1RiA,5,5,True
j7GSeG7W4Dl-sdzJbjBUXA,4,4,True
2VTwjhOX3UUvgOGbxe4xfA,4,5,True
OzOK548AuHvx7lh_WhMBvA,3,3,True
XEIc9OjhrtDvKTMj0E0Giw,5,5,True
clOq6ZQZ86cEVB8NehwEFA,5,5,True
X6DYb34KHjiLdwGy4r74RA,4,4,True
2aKJbAw_cjl8WKhSyh5MqA,4,5,True
KUvoaiERjw4fqnDuSMzo4w,3,4,True
g1Mp7ozhu4HwZDYanxUZCQ,4,5,True
__esH_kgJZeS8k3i6HaG7Q,5,5,True
Y7clMC7cgKDpH1tHY3mgLA,5,5,True
ZMHfSBf4lLJCsGxQY8RYlQ,4,4,True
byzY0lh3-U78C9TimskISg,2,2,True
bhokMtCUqSO8ey-IF8ufPQ,5,5,True
pgCLr4exBMu_iBFFNiwT5A,4,5,True
S9OVpXat8k5YwWCn6FAgXg,1,1,True
_vfM-lPC-QPxE-S-QsdSng,2,2,True
Ic-t_oLRMEEpmo0MfIvOwA,3,4,True
hre97jjSwon4bn1muHKOJg,4,5,True
3vCkW5w6WrRms9Lon8jzHg,2,1,True
y727z5s7ziROvku6F_rrIg,1,2,True
OuY0JQ1vSp5-SCVipZgl7A,4,5,True
uwGWwL5FLlNZUdokJlVbYQ,4,5,True
xbXkOaXLbwFsCMgsH6T9Tg,5,5,True
mvJEGVvZMqiQYRIHAWgKkg,4,5,True
a8RmP9xeCGIlfFFI2uGiSA,4,4,True
fnzmOhh79nb1qaRocnJ7Jw,4,4,True
dBt9em8zuiBmi0afyDGPbw,4,2,True
2zCYD1tuTkHvwlUS9QDk2A,3,4,True
ohJHvAieUmjf3WWWs7bfjA,3,3,True
e-QDXrRuDBSZOnzGLuAjOw,4,4,True
x2KQET-oO_y-3W3IWXrjzQ,5,5,True
UjfIUMfKaB04M_R2hYAmPw,5,5,True
lkXM8gxdU1qQVCHggDfsyQ,4,4,True
QDhIuFU2ADUo27CHfM2_jQ,3,2,True
mC1Y2H2IfqcJBm_V8DTYTg,1,2,True
YofsCwcSAuXs0FcE8T4dig,3,4,True
rYnCTUc8tONR8YFAkOQfeA,4,5,True
2Ouk1wfM0BtHik9tBdUo0w,3,5,True
mQRd9mdpBCEjzIPe_c4k-w,5,5,True
ShhaNxRrWd06hFAikSauNg,5,5,True
cIZ9ki0uiyZXfhqP9UcyqA,5,5,True
rtRPHXhtXAz4cGooTShXNw,4,4,True
Xw4LIQeqqGaX2oAFid5UDw,2,3,True
yHkvJxOyBbGT3MG-d487zw,4,5,True
uVGEIIXxZVNTNxwwn9-wGw,3,4,True
VOlzILk599dShFuG5gwVbQ,5,5,True
bUry2lOH49ZiLa6689F6Qw,5,5,True
TVUUO1gxwBiATfntwXhmXA,3,3,True
-ND5YhB3B8bAgcl-xSU_2Q,4,5,True
-skX1HIaPx4K5EvXl-VABg,5,5,True
Ez_JC0CJlOF7jpt2KJIH9Q,3,3,True
j7ySLZbARMB52UDpqzbf2w,5,5,True
ie9dzIMGLHKaeq2ByLfrTA,4,5,True
fu075k8dTKAQaBKAGSNuFA,4,5,True
FubrebQ3LpIG9UFBC7DtFg,3,5,True
6m324Co38HyL-Fh3NjWr_Q,4,5,True
7iUIThqzcZwOi7Xtu0C1jg,5,5,True
_T8aTW1y8cy05omDYPUDLA,5,5,True
sOs2dB9rbO7p-MB2EJ3cvg,4,3,True
62xjol6KYNtMS2gFSmqfaQ,5,5,True
TLMZDcoS2Ex4b9dC5orLVg,5,4,True
c7UBikwEOZfG2kTUQ3M3EA,5,5,True
fpKQ1DiOwNi__vzKv5FvAw,1,1,True
0OMgIKXCDZPYpiIl03jLPg,5,5,True
swhMVGUffHcfl3YgSgKszQ,5,5,True
coExktpilQIUCVAdjUfPhg,3,4,True
WE3QQvXUohL0HVxrUjmsJw,5,5,True
UoqPzTb-vSsbZRZg3G_qKg,5,5,True
jcaKt8dBjhcLoYuSL78Vnw,4,5,True
lTpCc1QyuzcROvgz-FxKAQ,5,5,True
vVaUMlzYJPc0pWV46XT8YA,3,4,True
HOD8qF2OW0AnlPrsscUyxA,2,1,True
nZwYc_NXQv88o1WKgHQcnA,4,5,True
djkwE8xPaBxz-sR4fM2huA,4,4,True
N0ZRCOmv-vT1l3B336MtBg,3,3,True
DNuvcgrzn950xjwb6-za3A,4,5,True
4gZStn31t8tz2Qva_oa3Zg,5,5,True
xqRrpg2VyIxEOD-G6t_8Hw,1,1,True
yMiNSE7ymTrQBpdKNYG-Jg,1,1,True
lwaPXul0D8mKK_UpMsxo7A,5,5,True
1ShyhjZOoavLH7LArfKwmA,2,2,True
zw2jx70RaKSE5k1sW9e3Gw,2,2,True
9kfqX0jlaCvU2rTeTMw7CA,5,5,True
5-OpMBN0GGKmZjmBY0sZXA,1,1,True
WI4PbBLUGvL6PXrsPoyPgw,1,1,True
DiwXHl9QnIeNghmD5LdGAQ,5,5,True
JL-jE0hQDeJNJKxhAc45-w,5,5,True
4Jr7NZisSBxabb-lGLRadg,4,5,True
-8a9TktdvoC01Xm69S6Q7w,4,5,True
c4wiS00iZNXpt2rvrKAXIg,4,5,True
JH3SG03gem0PaOpn6nMA3Q,3,4,True
jStvwAVYJz0j62km6FTlmQ,5,5,True
o6XthGhcUosK9LAFopu4gw,3,3,True
IXEe6N49j-pY85wy9qkcFg,5,5,True
lgNrXPBDKbyTQxE-w7Fvcg,5,4,True
o3xGMG9DkEt0_FAYkc8suw,3,3,True
t8z_np9fch9CdDbLrqyQzA,5,5,True
3cyAn0CQohU9C23AxKR2gA,5,5,True
zi2VEl-63LSuJhXQF8UV0w,4,4,True
vwHmBJ5YKbZxNFtmP2KpRQ,4,5,True
on6nBRNfAS-Yw4z0M1Zfiw,5,5,True
NiYiXSGSMqd_JehbwG7txA,5,5,True
ygTUOgZn4aXyDMToOq6c6Q,5,5,True
YU4nmER8zVduSmCTjyFdrQ,3,4,True
QPQrw4Z3RuD36yFMibywzw,4,4,True
jK5mzt25I1NKnjyK_fJeJQ,2,2,True
4t1PoFnjZqt17irZRSGCew,5,5,True
